,0
0,0.0
1,4.65786517016432e-05
2,9.346679610562289e-05
3,0.00014066443321193904
4,0.00018817156302059176
5,0.00023598818553158097
6,0.0002841143007449067
7,0.0003325499086605689
8,0.00038129500927856747
9,0.0004303496025989027
10,0.00047971368862157425
11,0.0005293872673465825
12,0.0005793703387739272
13,0.0006296629029036083
14,0.0006802649597356261
15,0.0007311765092699802
16,0.000782397551506671
17,0.0008339280864456982
18,0.0008857681140870621
19,0.0009379176344307623
20,0.000990376647476799
21,0.0010431451532251718
22,0.0010962231516758816
23,0.0011496106428289282
24,0.0012033076266843106
25,0.0012573141032420298
26,0.0013116300725020851
27,0.0013662555344644773
28,0.0014211904891292056
29,0.0014764349364962711
30,0.001531988876565673
31,0.0015878523093374112
32,0.0016440252348114857
33,0.0017005076529878972
34,0.0017572995638666447
35,0.0018144009674477294
36,0.0018718118637311503
37,0.0019295322527169072
38,0.001987562134405001
39,0.002045901508795431
40,0.002104550375888198
41,0.0021635087356833
42,0.0022227765881807394
43,0.002282353933380516
44,0.0023422407712826287
45,0.002402437101887078
46,0.002462942925193864
47,0.0025237582412029856
48,0.002584883049914445
49,0.00264631735132824
50,0.0027080611454443726
51,0.0028236287619477843
52,0.002940448052501141
53,0.0030572463147076436
54,0.003174658994571952
55,0.0032931804671360453
56,0.0034119721052160374
57,0.003531229848441242
58,0.0037009572952477884
59,0.003894575172251974
60,0.004089364509214788
61,0.004284522190399019
62,0.004481202268191397
63,0.004678397888633184
64,0.004877270763442746
65,0.0050770130420233145
66,0.005277266685436038
67,0.005479049688485667
68,0.005681495014830972
69,0.005885319160131386
70,0.006090164363969207
71,0.006280479258650668
72,0.006472249426343028
73,0.006664284328388852
74,0.006857932703459008
75,0.007052521087411798
76,0.007247525860484456
77,0.007442890343622865
78,0.007640715561125158
79,0.007839060777615267
80,0.00803834600298801
81,0.008279638345308014
82,0.008546557140156166
83,0.008814759638986563
84,0.00908440626998184
85,0.009355176594558449
86,0.009627230623117303
87,0.009900568355658399
88,0.010167409025323862
89,0.010435764153744686
90,0.010705907387951146
91,0.01099036660928872
92,0.011271227337362986
93,0.011551735736181986
94,0.011833525332292873
95,0.012119896601328022
96,0.012407565778924082
97,0.012698191458531755
98,0.01299344894487076
99,0.013292807655149562
100,0.013797937791351873
101,0.014312686655483622
102,0.014773848050276333
103,0.015310084821162286
104,0.015905061702669872
105,0.01644639541060833
106,0.016990207956785453
107,0.01756483886825553
108,0.018028451249171854
109,0.018579561049489733
110,0.019133149688046275
111,0.019751261093349282
112,0.0203516128760175
113,0.02094291272129736
114,0.02153545309978115
115,0.02213766178295916
116,0.02279941160358738
117,0.023432379327053304
118,0.0240675961088088
119,0.02470540828990439
120,0.025462968968492213
121,0.026282660891968495
122,0.02708268671553543
123,0.027856754646405222
124,0.0287522720034328
125,0.029622109988913653
126,0.030495722214503716
127,0.03143257294581572
128,0.03237347643838735
129,0.033318432692218604
130,0.034207559659971146
131,0.03507045021387617
132,0.03590984333092676
133,0.03671053593412778
134,0.03752016377435514
135,0.03835088137535216
136,0.039121753136760425
137,0.039886567202407824
138,0.04059146189888274
139,0.04117413664043726
140,0.04172803875454857
141,0.04222206564508977
142,0.04281023268446979
143,0.04316002739727075
144,0.04363462743757078
145,0.04404895550092191
146,0.04458892445522337
147,0.045074846380287595
148,0.04568727261186841
149,0.04632074111636277
150,0.04705057793889928
151,0.04783972584041577
152,0.04885221985244669
153,0.049796176772390274
154,0.05068059979643354
155,0.05163496644437373
